date,away,home,pick_team,conf,pick_ml,result,pl,away_score,home_score
2026-04-13,TEX,ATH,ATH,10,109,L,-50,8,1
2026-04-14,CLE,STL,CLE,10,-115,L,-50,5,6
2026-04-14,TEX,ATH,ATH,10,-238,W,21.01,1,2
2026-04-18,DET,BOS,DET,10,119,W,59.5,4,1
2026-04-18,LAD,COL,LAD,10,-201,L,-50,3,4
2026-04-19,DET,BOS,DET,10,113,W,56.5,6,2
2026-04-19,KC,NYY,NYY,10,-331,W,15.11,0,7
2026-04-20,LAD,COL,LAD,10,-267,W,18.73,12,3
2026-04-21,LAD,SF,LAD,10,-222,L,-50,1,3
2026-04-27,CHC,SD,CHC,10,-112,L,-50,7,9
2026-04-30,HOU,BAL,BAL,10,-132,W,37.88,3,10
